label,alokasi
Belanja Bagi Hasil,0.07072109003153154
Belanja Bantuan Keuangan,7.711202087837837
Belanja Bantuan Sosial,0.5027107105576577
Belanja Barang dan Jasa,13.628619522522525
Belanja Bunga,0.12501900148648648
Belanja Hibah,1.3822839124684685
Belanja Modal Aset Lainnya,0.006109393588018018
Belanja Modal Aset Tetap Lainnya,0.14603155085677477
Belanja Modal Gedung dan Bangunan,3.636856338738739
"Belanja Modal Jalan, Jaringan, dan Irigasi",5.826797644144143
Belanja Modal Peralatan dan Mesin,1.5889357016216217
Belanja Modal Tanah,0.1560452417801802
Belanja Pegawai,13.92072650900901
Belanja Subsidi,0.03307329511711712
Belanja Tidak Terduga,0.5259772302972974
Dana Darurat,0.0
Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,0.21891420257207211
Hasil Penjualan Kekayaan Daerah yang Dipisahkan,0.0
Lain-lain PAD yang Sah,1.4213790875855856
Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.5943772147117117
Pajak Daerah,0.7556740485360359
Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,0.5906593447567567
Pembentukan Dana Cadangan,0.00798331918918919
Pemberian Pinjaman Daerah,0.00024219070270270273
Pencairan Dana Cadangan,0.002809241441441441
Pendapatan Hibah,0.10786464035135135
Pendapatan Transfer Antar Daerah,1.6787030144144144
Pendapatan Transfer Pemerintah Pusat,41.16313721621621
Penerimaan Kembali Pemberian Pinjaman Daerah,0.0005006671495495495
Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.0
Penerimaan Pinjaman Daerah,2.2325791603603604
Pengeluaran Pembiayaan Lainnya sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.0
Penyertaan Modal Daerah,0.14091793061261262
Retribusi Daerah,0.35841782929513505
Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,1.4647316401171173
