label,alokasi
Belanja Bagi Hasil,0.14505858334375002
Belanja Bantuan Keuangan,7.875749497321428
Belanja Bantuan Sosial,0.2360962164395982
Belanja Barang dan Jasa,12.384248762053572
Belanja Bunga,0.04256551369732143
Belanja Hibah,1.3022049902678572
Belanja Modal Aset Lainnya,0.005905729446142857
Belanja Modal Aset Tetap Lainnya,0.128352865385
Belanja Modal Gedung dan Bangunan,1.9386564078125
"Belanja Modal Jalan, Jaringan, dan Irigasi",3.2873870706250004
Belanja Modal Peralatan dan Mesin,1.4599572395535714
Belanja Modal Tanah,0.089639134571875
Belanja Pegawai,20.23330103125
Belanja Subsidi,0.011917158200892859
Belanja Tidak Terduga,0.4986666345089286
Dana Darurat,0.0
Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,0.28265794236607145
Hasil Penjualan Kekayaan Daerah yang Dipisahkan,0.00037623975
Lain-lain PAD yang Sah,2.3355884596875
Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.4475230895
Pajak Daerah,1.4092329239285715
Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,0.19312902992857145
Pembentukan Dana Cadangan,0.02795713338392857
Pemberian Pinjaman Daerah,0.004015187138392857
Pencairan Dana Cadangan,0.0
Pendapatan Hibah,0.17289468074553568
Pendapatan Transfer Antar Daerah,2.3912054911160716
Pendapatan Transfer Pemerintah Pusat,40.64974683035714
Penerimaan Kembali Pemberian Pinjaman Daerah,0.008661142293660714
Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.0
Penerimaan Pinjaman Daerah,0.31181678125
Pengeluaran Pembiayaan Lainnya sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.0
Penyertaan Modal Daerah,0.1265828859107143
Retribusi Daerah,0.47500044462946434
Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,1.5239054702187502
