label,alokasi
Belanja Bagi Hasil,0.30323927397
Belanja Bantuan Keuangan,1.37048951126
Belanja Bantuan Sosial,0.2960626809052
Belanja Barang dan Jasa,17.33922994
Belanja Bunga,0.06007208056
Belanja Hibah,1.7130535305999999
Belanja Modal Aset Lainnya,0.009049901849860001
Belanja Modal Aset Tetap Lainnya,0.21950038725999999
Belanja Modal Gedung dan Bangunan,3.0577303816
"Belanja Modal Jalan, Jaringan, dan Irigasi",3.8324097679999998
Belanja Modal Peralatan dan Mesin,1.4489288364000001
Belanja Modal Tanah,1.03929830345
Belanja Pegawai,17.95459499
Belanja Subsidi,0.06309566999999999
Belanja Tidak Terduga,0.7929562366999999
Dana Darurat,0.0
Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,0.38530563414
Hasil Penjualan Kekayaan Daerah yang Dipisahkan,0.103410434
Lain-lain PAD yang Sah,3.6161158868000003
Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.3511278806
Pajak Daerah,11.575934076800001
Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,0.22998678830000002
Pembentukan Dana Cadangan,0.015626602899999998
Pemberian Pinjaman Daerah,0.0009943152399999999
Pencairan Dana Cadangan,0.035946322
Pendapatan Hibah,0.15419172252
Pendapatan Transfer Antar Daerah,4.3790033156
Pendapatan Transfer Pemerintah Pusat,23.00740922
Penerimaan Kembali Pemberian Pinjaman Daerah,0.0025247984540000003
Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.0
Penerimaan Pinjaman Daerah,0.9461315479999999
Pengeluaran Pembiayaan Lainnya sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.0
Penyertaan Modal Daerah,0.24505420516
Retribusi Daerah,1.353675178
Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,4.0978494996
