label,alokasi
Belanja Bagi Hasil,0.1725711467713439
Belanja Bantuan Keuangan,6.383697812988141
Belanja Bantuan Sosial,0.31379751254183796
Belanja Barang dan Jasa,13.724060308695652
Belanja Bunga,0.0677672712652174
Belanja Hibah,1.41089069427668
Belanja Modal Aset Lainnya,0.005346143909760869
Belanja Modal Aset Tetap Lainnya,0.14510842764047827
Belanja Modal Gedung dan Bangunan,2.5042100661857707
"Belanja Modal Jalan, Jaringan, dan Irigasi",3.900536718616601
Belanja Modal Peralatan dan Mesin,1.471710025632411
Belanja Modal Tanah,0.23328973532
Belanja Pegawai,18.59369458300395
Belanja Subsidi,0.019930458643280632
Belanja Tidak Terduga,0.5426534550118576
Dana Darurat,0.0
Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,0.3177859771156127
Hasil Penjualan Kekayaan Daerah yang Dipisahkan,0.010384979059288537
Lain-lain PAD yang Sah,2.677488386486166
Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.48632094458695646
Pajak Daerah,2.7582825702717395
Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,0.30679670221343874
Pembentukan Dana Cadangan,0.02964271306916996
Pemberian Pinjaman Daerah,0.004500236428853755
Pencairan Dana Cadangan,0.004168264624505929
Pendapatan Hibah,0.1505265837588241
Pendapatan Transfer Antar Daerah,2.646366679426878
Pendapatan Transfer Pemerintah Pusat,37.19301232213438
Penerimaan Kembali Pemberian Pinjaman Daerah,0.0056810828325691695
Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.0021861837944664032
Penerimaan Pinjaman Daerah,0.9401299447035573
Pengeluaran Pembiayaan Lainnya sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.0045116930830039524
Penyertaan Modal Daerah,0.1538313454743083
Retribusi Daerah,0.6015962315410277
Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,2.2175228883913043
