,Variable,SHAP_abs,Corr,Sign
16,Belanja Gaji dan Tunjangan MRP/MRPB,0.0,0.0,blue
29,Belanja Penunjang Otonomi Khusus,0.0,0.0,blue
10,Belanja Bunga Utang Pinjaman kepada Pemerintah Daerah Lain,0.0,0.0,blue
33,Belanja Subsidi kepada Koperasi,0.008417072551677163,-0.14860804201822742,blue
12,Belanja Bunga Utang Pinjaman melalui BLUD,0.008556799118464273,0.7826257384129504,red
9,Belanja Bunga Utang Pinjaman kepada Lembaga Keuangan Bukan Bank (LKBB),0.013275869554764308,-0.7214636970363761,blue
20,Belanja Hibah kepada BUMN,0.02047065749659608,0.8246577539884313,red
30,Belanja Subsidi kepada BUMD,0.030172702618989466,-0.8323901968192403,blue
31,Belanja Subsidi kepada BUMN,0.03105524830607303,0.7118330793824985,red
22,Belanja Hibah kepada Pemerintah Daerah Lainnya,0.03753959590660013,0.10026818249957015,red
8,Belanja Bunga Utang Pinjaman kepada Lembaga Keuangan Bank (LKB),0.0450398845535101,-0.009747748217179329,blue
32,Belanja Subsidi kepada Badan Usaha Milik Swasta,0.07200645692592791,-0.7971600708241442,blue
23,Belanja Hibah kepada Pemerintah Pusat,0.07934289987404518,0.6567001129968878,red
19,Belanja Hibah kepada BUMD,0.0810713668197448,0.587556537642619,red
11,Belanja Bunga Utang Pinjaman kepada Pemerintah Pusat,0.0965312433168654,0.8172389908771742,red
3,Belanja Bantuan Sosial kepada Keluarga,0.11640302717864966,-0.419676651528683,blue
2,Belanja Bantuan Sosial kepada Kelompok Masyarakat,0.12433112039156174,-0.2256750412536719,blue
24,Belanja Jasa,0.12705941688313038,0.33387547345240626,red
7,Belanja Barang dan Jasa BOS,0.16414115797174816,-0.2542340451992562,blue
18,Belanja Hibah Dana BOS,0.16478731784580306,0.5820611961427957,red
17,Belanja Hibah Bantuan Keuangan kepada Partai Politik,0.1723684688859834,0.047435872129293934,red
28,Belanja Penerimaan Lainnya Pimpinan DPRD serta KDH/WKDH,0.17424875077649332,0.24257473939410382,red
26,Belanja Pegawai BOS,0.19558594510323035,-0.4659612534962562,blue
27,Belanja Pemeliharaan,0.20452565773024625,0.10005881041288743,red
35,Belanja Uang dan/atau Jasa untuk Diberikan kepada Pihak Ketiga/Pihak Lain/Masyarakat,0.24087544493253757,-0.19597082844523803,blue
1,Belanja Bantuan Sosial kepada Individu,0.25085699870075917,-0.5327753241571616,blue
21,"Belanja Hibah kepada Badan, Lembaga, Organisasi Kemasyarakatan yang Berbadan Hukum Indonesia",0.2789755950588988,-0.47961434921399587,blue
14,Belanja Gaji dan Tunjangan DPRD,0.3153027914163092,-0.6282666882221184,blue
36,Tambahan Penghasilan berdasarkan Pertimbangan Objektif Lainnya ASN,0.34046265160994094,0.45333436005755734,red
5,Belanja Barang,0.39828994929182165,-0.7838898874909087,blue
6,Belanja Barang dan Jasa BLUD,0.4338444597272637,0.8290264992282256,red
4,"Belanja Bantuan Sosial kepada Lembaga Non Pemerintahan (Bidang Pendidikan, Keagamaan dan Bidang Lainnya)",0.4632438914641798,-0.8502895399213858,blue
25,Belanja Pegawai BLUD,0.4836636684442109,0.7447433697149236,red
13,Belanja Gaji dan Tunjangan ASN,0.4870263584318983,0.006513380076876564,red
15,Belanja Gaji dan Tunjangan KDH/WKDH,0.4883268384510497,0.13312028246798338,red
34,Belanja Tambahan Penghasilan ASN,0.5843884309739066,0.7922946509717149,red
0,Belana Perjalanan Dinas,1.4782132558121208,-0.9019908477826947,blue
